sample	samples	HGS	HGS	ENSG00000185359.12
TCGA-2Z-A9J3-01	TCGA-2Z-A9J3-01	0.889	1	6.628
TCGA-DX-A7EF-01	TCGA-DX-A7EF-01	0.888	1	6.938
TCGA-DD-AACX-01	TCGA-DD-AACX-01	0.888	1	6.191
TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y4-01	0.887	1	7.114
TCGA-V4-A9EJ-01	TCGA-V4-A9EJ-01	0.886	1	6.617
TCGA-24-1852-01	TCGA-24-1852-01	0.885	1	
TCGA-HN-A2NL-01	TCGA-HN-A2NL-01	0.884	1	7.564
TCGA-QR-A70K-01	TCGA-QR-A70K-01	0.884	1	7.112
TCGA-HE-7129-01	TCGA-HE-7129-01	0.884	1	6.306
TCGA-ER-A2NE-06	TCGA-ER-A2NE-06	0.883	2	6.427
TCGA-D3-A1QA-06	TCGA-D3-A1QA-06	0.883	1	6.804
TCGA-57-1586-01	TCGA-57-1586-01	0.883	1	6.234
TCGA-13-1487-01	TCGA-13-1487-01	0.882	2	6.477
TCGA-VD-A8KB-01	TCGA-VD-A8KB-01	0.882	1	6.69
TCGA-A5-A0GR-01	TCGA-A5-A0GR-01	0.88	2	
TCGA-EY-A1GS-01	TCGA-EY-A1GS-01	0.88	1	
TCGA-FS-A1YW-06	TCGA-FS-A1YW-06	0.879	2	6.811
TCGA-24-1428-01	TCGA-24-1428-01	0.879	1	7.232
TCGA-71-6725-01	TCGA-71-6725-01	0.879	1	6.572
TCGA-IW-A3M4-01	TCGA-IW-A3M4-01	0.878	1	6.424
TCGA-XF-AAMQ-01	TCGA-XF-AAMQ-01	0.878	1	6.274
TCGA-BQ-7051-01	TCGA-BQ-7051-01	0.878	1	6.065
TCGA-DW-7839-01	TCGA-DW-7839-01	0.878	1	5.958
TCGA-37-4135-01	TCGA-37-4135-01	0.878	1	5.201
TCGA-V4-A9ET-01	TCGA-V4-A9ET-01	0.877	1	7.306
TCGA-VD-AA8S-01	TCGA-VD-AA8S-01	0.876	1	7.067
TCGA-56-7730-01	TCGA-56-7730-01	0.875	1	6.6
TCGA-AX-A0IU-01	TCGA-AX-A0IU-01	0.875	1	
TCGA-37-5819-01	TCGA-37-5819-01	0.874	2	7.061
TCGA-A7-A13D-01	TCGA-A7-A13D-01	0.874	1	5.894
TCGA-W3-A824-06	TCGA-W3-A824-06	0.873	2	
TCGA-D8-A1XL-01	TCGA-D8-A1XL-01	0.871	1	6.301
TCGA-G7-A4TM-01	TCGA-G7-A4TM-01	0.87	1	6.941
TCGA-AX-A2HH-01	TCGA-AX-A2HH-01	0.87	1	6.605
TCGA-FA-A7Q1-01	TCGA-FA-A7Q1-01	0.87	1	6.137
TCGA-24-1464-01	TCGA-24-1464-01	0.868	2	7.031
TCGA-DZ-6133-01	TCGA-DZ-6133-01	0.866	1	5.98
TCGA-BH-A1FG-01	TCGA-BH-A1FG-01	0.866	1	5.593
