"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P15880",-0.145522110879043,21.236641694508,-0.344756404849473,0.737977777158034,0.93219158627155,-6.54980217465873,"unchanged"
"P62917",0.138961543584788,20.0267723041468,0.338536675309264,0.742507822915001,0.93219158627155,-6.55208575531891,"unchanged"
"Q14978",-0.136431794622766,16.736271421575,-0.381070846729085,0.711745729981708,0.932013999280898,-6.53566280817803,"unchanged"
"P11142",0.136412886061134,21.2150592885371,0.344012512145314,0.738519024516086,0.93219158627155,-6.55007742862491,"unchanged"
"P07355",0.134090372947661,20.9113984342165,0.367069153978251,0.721815097315419,0.932013999280898,-6.54127725407379,"unchanged"
"P05089",-0.125145091248459,22.2973719293632,-0.29424832586488,0.775056953993517,0.958623074676192,-6.5671707495079,"unchanged"
"P11021",0.124288087599435,19.3987255157305,0.239019044447931,0.816296509361794,0.975487213668914,-6.58307352455189,"unchanged"
"Q8N684",0.122095966848885,18.9793970813407,0.334089505597317,0.74575326901724,0.93219158627155,-6.55369368109624,"unchanged"
"P06702",0.107501707569444,19.4693722500231,0.209525529462365,0.838574736768538,0.975487213668914,-6.59023334593222,"unchanged"
"Q5D862",0.106467811343581,21.8992414032164,0.296554665691596,0.773349827412301,0.958623074676192,-6.56643624404119,"unchanged"
"P50402",-0.104840982170369,17.1881252113579,-0.277915597871657,0.787182143613088,0.964784214921504,-6.57221110886498,"unchanged"
"P10412",-0.102847599561176,21.3590886126523,-0.25325784074174,0.805601533440335,0.975487213668914,-6.5792841054436,"unchanged"
"P27708",-0.0947940222186574,19.2325697481973,-0.177979424239487,0.862571473098631,0.975487213668914,-6.59685852381291,"unchanged"
"P69905",-0.0923851179900872,21.963122213033,-0.213224770807416,0.83577170762454,0.975487213668914,-6.58938642375339,"unchanged"
"Q07955",0.092375677230887,17.5159552140932,0.195608623590895,0.849141145623724,0.975487213668914,-6.59328798245722,"unchanged"
"Q86YZ3",-0.0834807925614172,24.2786862129402,-0.245310378845515,0.811565910177848,0.975487213668914,-6.58142586501952,"unchanged"
"Q9Y230",0.0826511616701495,20.1442864054326,0.200336474042909,0.845547853380714,0.975487213668914,-6.59227358963608,"unchanged"
"Q6UN15",0.0747093784147914,17.1259698006738,0.15744525877763,0.878273325045227,0.975487213668914,-6.60059533365983,"unchanged"
"Q96KR7",-0.0733808805788954,20.4117851561532,-0.0935000327254579,0.927497950741148,0.983821278408082,-6.60931223472607,"unchanged"
"P62906",-0.0713474054341994,19.2506491732163,-0.170764141248026,0.868081934162558,0.975487213668914,-6.59822337247532,"unchanged"
"P39023",0.070078471060004,20.0178791066844,0.162903049073296,0.87409414430655,0.975487213668914,-6.59964649917622,"unchanged"
"P52272",0.069870688414607,19.7045297915664,0.195803739384304,0.848992779269603,0.975487213668914,-6.5932465942041,"unchanged"
"P23396",0.0694033510016823,20.9353092438014,0.13982285093692,0.891793717503294,0.975487213668914,-6.60343934322041,"unchanged"
"Q8IW75",-0.0693993649134725,17.3163651082495,-0.168912237321601,0.869497493915134,0.975487213668914,-6.59856463102173,"unchanged"
"P35637",0.0645746287203401,23.4993810038383,0.179896729345627,0.861108488093492,0.975487213668914,-6.59648641260306,"unchanged"
"Q6UWP8",0.0611634820117182,18.2852996532065,0.145362963363576,0.887539003408291,0.975487213668914,-6.60258141477167,"unchanged"
"P05141",-0.0605559692559119,22.63885964021,-0.154133110417677,0.880811472789473,0.975487213668914,-6.60115547087511,"unchanged"
"Q8WWY7",-0.0603232650628627,17.3490205664372,-0.146147497762153,0.886936796843879,0.975487213668914,-6.60245724163688,"unchanged"
"Q9UHX1",-0.0599033032662675,16.3729207612772,-0.111628760586754,0.913499810664303,0.97794232136794,-6.60729078699323,"unchanged"
