sample	samples	STAM	STAM	ENSG00000136738.14
TCGA-CR-6488-01	TCGA-CR-6488-01	0.796	1	4.164
TCGA-BH-A1FC-01	TCGA-BH-A1FC-01	0.794	1	4.321
TCGA-D1-A2G5-01	TCGA-D1-A2G5-01	0.793	1	
TCGA-BC-A10Q-01	TCGA-BC-A10Q-01	0.792	1	3.522
TCGA-XF-AAMH-01	TCGA-XF-AAMH-01	0.79	1	2.196
TCGA-VQ-A91U-01	TCGA-VQ-A91U-01	0.789	1	3.777
TCGA-AP-A0LD-01	TCGA-AP-A0LD-01	0.788	1	
TCGA-EQ-8122-01	TCGA-EQ-8122-01	0.787	1	3.79
TCGA-AX-A1C4-01	TCGA-AX-A1C4-01	0.786	1	
TCGA-RW-A68B-01	TCGA-RW-A68B-01	0.783	1	4.243
TCGA-CS-6667-01	TCGA-CS-6667-01	0.783	1	3.641
TCGA-WH-A86K-01	TCGA-WH-A86K-01	0.783	1	3.336
TCGA-AL-3468-01	TCGA-AL-3468-01	0.782	1	3.416
TCGA-02-0114-01	TCGA-02-0114-01	0.782	1	
TCGA-08-0517-01	TCGA-08-0517-01	0.782	1	
TCGA-61-1741-01	TCGA-61-1741-01	0.781	1	3.506
TCGA-AJ-A3NC-01	TCGA-AJ-A3NC-01	0.78	1	3.108
TCGA-AR-A2LL-01	TCGA-AR-A2LL-01	0.778	1	3.917
TCGA-BG-A0W2-01	TCGA-BG-A0W2-01	0.778	1	
TCGA-CC-A7IH-01	TCGA-CC-A7IH-01	0.777	1	2.623
TCGA-04-1338-01	TCGA-04-1338-01	0.775	1	3.131
TCGA-E1-A7YK-01	TCGA-E1-A7YK-01	0.773	2	4.008
TCGA-A5-A0R9-01	TCGA-A5-A0R9-01	0.769	1	
TCGA-CM-5862-01	TCGA-CM-5862-01	0.768	1	4.078
TCGA-57-1586-01	TCGA-57-1586-01	0.768	1	2.882
TCGA-A5-A0GU-01	TCGA-A5-A0GU-01	0.768	1	
TCGA-13-0888-01	TCGA-13-0888-01	0.765	1	2.644
TCGA-NC-A5HT-01	TCGA-NC-A5HT-01	0.764	1	4.03
TCGA-DD-AACZ-01	TCGA-DD-AACZ-01	0.764	1	3.157
TCGA-CG-4300-01	TCGA-CG-4300-01	0.763	1	
TCGA-24-1436-01	TCGA-24-1436-01	0.762	1	3.172
TCGA-AR-A1AK-01	TCGA-AR-A1AK-01	0.76	1	3.92
TCGA-OR-A5LT-01	TCGA-OR-A5LT-01	0.76	1	3.257
TCGA-EY-A1GQ-01	TCGA-EY-A1GQ-01	0.76	1	
TCGA-ND-A4WA-01	TCGA-ND-A4WA-01	0.759	1	3.233
TCGA-CZ-5454-01	TCGA-CZ-5454-01	0.758	1	3.84
TCGA-36-1580-01	TCGA-36-1580-01	0.758	1	3.794
TCGA-13-1477-01	TCGA-13-1477-01	0.755	1	2.736
TCGA-13-0802-01	TCGA-13-0802-01	0.755	1	
TCGA-AA-3872-01	TCGA-AA-3872-01	0.755	1	
TCGA-A8-A094-01	TCGA-A8-A094-01	0.754	1	4.367
TCGA-UB-A7MA-01	TCGA-UB-A7MA-01	0.754	1	2.541
TCGA-B6-A0X1-01	TCGA-B6-A0X1-01	0.753	1	3.948
TCGA-G3-A5SJ-01	TCGA-G3-A5SJ-01	0.752	1	2.506
TCGA-EY-A1GK-01	TCGA-EY-A1GK-01	0.752	1	
TCGA-EY-A1GT-01	TCGA-EY-A1GT-01	0.751	1	
TCGA-BR-8295-01	TCGA-BR-8295-01	0.75	1	3.597
TCGA-BT-A20N-01	TCGA-BT-A20N-01	0.749	1	4.21
TCGA-DX-AB2E-01	TCGA-DX-AB2E-01	0.748	1	3.524
TCGA-02-0014-01	TCGA-02-0014-01	0.747	1	
TCGA-BG-A0MG-01	TCGA-BG-A0MG-01	0.747	1	
TCGA-Z4-AAPF-01	TCGA-Z4-AAPF-01	0.745	1	2.884
TCGA-AX-A3G7-01	TCGA-AX-A3G7-01	0.74	2	2.541
TCGA-QK-A8Z8-01	TCGA-QK-A8Z8-01	0.739	1	4.659
TCGA-AB-2820-03	TCGA-AB-2820-03	0.739	1	4.602
TCGA-BR-7717-01	TCGA-BR-7717-01	0.739	1	2.895
TCGA-HT-8111-01	TCGA-HT-8111-01	0.738	1	4.641
TCGA-D7-6518-01	TCGA-D7-6518-01	0.737	2	2.915
TCGA-DX-A6YV-01	TCGA-DX-A6YV-01	0.737	1	4.047
TCGA-CV-A6JU-01	TCGA-CV-A6JU-01	0.736	2	4.072
TCGA-78-7633-01	TCGA-78-7633-01	0.736	1	3.424
TCGA-24-1565-01	TCGA-24-1565-01	0.736	1	2.662
TCGA-D1-A0ZU-01	TCGA-D1-A0ZU-01	0.736	1	
TCGA-DD-AAE3-01	TCGA-DD-AAE3-01	0.734	1	1.379
TCGA-BR-4357-01	TCGA-BR-4357-01	0.733	1	4.035
TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y5-01	0.733	1	3.214
TCGA-09-2049-01	TCGA-09-2049-01	0.733	1	
TCGA-22-5473-01	TCGA-22-5473-01	0.732	1	4.119
TCGA-AX-A05W-01	TCGA-AX-A05W-01	0.731	1	2.379
TCGA-LN-A49U-01	TCGA-LN-A49U-01	0.729	1	
TCGA-13-A5FT-01	TCGA-13-A5FT-01	0.728	2	3.386
TCGA-55-6972-01	TCGA-55-6972-01	0.726	1	3.457
TCGA-GU-AATQ-01	TCGA-GU-AATQ-01	0.726	1	3.094
